,date,trainer,appear_cum,win_cum,top2_cum,top3_cum,win_rate,top2_rate,top3_rate
115,2015-06-17,S Woods,13,0,0,1,0.0,0.0,0.07692307692307693
116,2015-06-17,T K Ng,11,1,1,1,0.09090909090909091,0.09090909090909091,0.09090909090909091
117,2015-06-17,T P Yung,20,1,2,2,0.05,0.1,0.1
118,2015-06-17,W Y So,23,1,3,4,0.043478260869565216,0.13043478260869565,0.17391304347826086
119,2015-06-17,Y S Tsui,21,3,8,10,0.14285714285714285,0.38095238095238093,0.47619047619047616
120,2015-06-21,A Lee,20,3,3,5,0.15,0.15,0.25
121,2015-06-21,A S Cruz,33,2,6,8,0.06060606060606061,0.18181818181818182,0.24242424242424243
122,2015-06-21,A Schutz,13,1,3,5,0.07692307692307693,0.23076923076923078,0.38461538461538464
123,2015-06-21,A T Millard,27,3,4,6,0.1111111111111111,0.14814814814814814,0.2222222222222222
124,2015-06-21,C Fownes,42,6,7,12,0.14285714285714285,0.16666666666666666,0.2857142857142857
125,2015-06-21,C H Yip,33,2,3,6,0.06060606060606061,0.09090909090909091,0.18181818181818182
126,2015-06-21,C S Shum,24,2,6,9,0.08333333333333333,0.25,0.375
127,2015-06-21,C W Chang,19,0,1,3,0.0,0.05263157894736842,0.15789473684210525
128,2015-06-21,D Cruz,23,1,1,4,0.043478260869565216,0.043478260869565216,0.17391304347826086
129,2015-06-21,D E Ferraris,25,2,4,4,0.08,0.16,0.16
130,2015-06-21,D J Hall,15,1,2,3,0.06666666666666667,0.13333333333333333,0.2
131,2015-06-21,J Moore,31,4,8,9,0.12903225806451613,0.25806451612903225,0.2903225806451613
132,2015-06-21,J Size,25,5,8,11,0.2,0.32,0.44
133,2015-06-21,K L Man,23,1,4,5,0.043478260869565216,0.17391304347826086,0.21739130434782608
134,2015-06-21,K W Lui,18,2,3,5,0.1111111111111111,0.16666666666666666,0.2777777777777778
135,2015-06-21,L Ho,16,0,2,4,0.0,0.125,0.25
136,2015-06-21,P F Yiu,22,1,3,5,0.045454545454545456,0.13636363636363635,0.22727272727272727
137,2015-06-21,P O'Sullivan,20,0,1,2,0.0,0.05,0.1
138,2015-06-21,R Gibson,24,1,4,6,0.041666666666666664,0.16666666666666666,0.25
139,2015-06-21,S Woods,15,0,0,1,0.0,0.0,0.06666666666666667
140,2015-06-21,T K Ng,14,1,2,3,0.07142857142857142,0.14285714285714285,0.21428571428571427
141,2015-06-21,T P Yung,23,1,2,2,0.043478260869565216,0.08695652173913043,0.08695652173913043
142,2015-06-21,W Y So,28,2,4,6,0.07142857142857142,0.14285714285714285,0.21428571428571427
