,plc,horse,jockey,trainer,draw,gear,lbw,runningpos,time,comment,date,distance,going,raceno,venue,course,result,horse_ch,jockey_ch,trainer_ch,result_ch,comment_ch,going_ch,venue_ch,course_ch
3813,8,HAPPY SURVEYS(T248),K Teetan,J Size,04,P,7L,7 8 8,1.12.06,Under restraint and settled midfield; not properly tested.,2016-09-13,300,GOOD,2,SHA TIN,ALL WEATHER TRACK,,有心人 (T248),田泰安,蔡約翰,,扣實居中，力掩鋒茫,好地,沙田,全天候賽道
3814,4,HAPPY SURVEYS(T248),M L Yeung,J Size,01,P,2-3/4L,4 4 4,1.02.41,Rearward early under restraint; raced with cover.,2015-06-09,300,GOOD,11,SHA TIN,TURF,,有心人 (T248),楊明綸,蔡約翰,,"扣實居後, 跟馬林走",好地,沙田,草地
3815,2,HAPPY SURVEYS(T248),M L Yeung,J Size,01,,1/2L,4 4 2,1.02.93,Ran on comfortably for 2nd on the inside.,2016-03-04,200,GOOD,3,SHA TIN,ALL WEATHER TRACK,,有心人 (T248),楊明綸,蔡約翰,,"內檔竄上, 輕鬆第二",好地,沙田,全天候賽道
3816,9,HAPPY SURVEYS(T248),M L Yeung,J Size,05,P,4-3/4L,8 7 9,1.12.19,Ran on ok when cleared in the straight.,2015-09-11,200,GOOD,2,SHA TIN,ALL WEATHER TRACK,,有心人 (T248),楊明綸,蔡約翰,,直路望空，自動湧上,好地,沙田,全天候賽道
3817,7,HAPPY SURVEYS(T248),M L Yeung,J Size,06,P,3-3/4L,7 7 7,1.11.69,Ran on without being asked; impressive run.,2015-07-03,1200,GOOD,1,SHA TIN,ALL WEATHER TRACK,,有心人 (T248),楊明綸,蔡約翰,,"按住追近, 惹人好感",好地,沙田,全天候賽道
3818,7,HAPPY SURVEYS(T248),M L Yeung,J Size,06,P,8-1/4L,7 6 7,1.12.59,Under a hold in the Straight; not properly tested.,2016-09-06,1200,WET,1,SHA TIN,ALL WEATHER TRACK,,有心人 (T248),楊明綸,蔡約翰,,直路短韁按實，紋風未動,濕地,沙田,全天候賽道
3819,5,HAPPY SURVEYS(T248),M L Yeung,J Size,08,P,4-1/4L,10 8 5,1.10.81,Under restraint early; hit the line strongly in the Straight.,2016-12-13,400,GOOD,9,SHA TIN,TURF,,有心人 (T248),楊明綸,蔡約翰,,早段撐實，直路自動湧上,好地,沙田,草地
3820,7,HAPPY THREE(V162),G Mosse,D E Ferraris,03,,,Withdrawn,,,2016-03-01,800,GOOD,9,SHA TIN,TURF,Required to pass stall test,歡樂三笑 (V162),巫斯義,霍利時,需閘箱測試合格,,好地,沙田,草地
3821,3,HAPPY THREE(V162),N Callan,D E Ferraris,01,B,4L,1 1 3,1.12.20,Jumped away well; kept on one-paced late.,2016-05-27,200,WET,2,SHA TIN,ALL WEATHER TRACK,Passed,歡樂三笑 (V162),郭能,霍利時,及格,"起步敏捷, 拉士僅保持速度",濕地,沙田,全天候賽道
3822,6,HAPPY THREE(V162),N Rawiller,D E Ferraris,01,,8L,5 7 6,0.48.61,Settled midfield; unimpressive.,2016-01-19,800,GOOD,6,SHA TIN,TURF,Passed,歡樂三笑 (V162),羅理雅,霍利時,及格,"居中跟跑, 未見佳處",好地,沙田,草地
3823,7,HAPPY THREE(V162),N Rawiller,D E Ferraris,01,,3L,8 9 7,0.48.01,Under whip at 400m; raced greenly.,2016-02-02,1000,GOOD,8,SHA TIN,TURF,,歡樂三笑 (V162),羅理雅,霍利時,,"四百開鞭, 走勢稚嫩",好地,沙田,草地
3824,1,HAPPY THREE(V162),N Rawiller,D E Ferraris,01,,,1 1 1,1.04.36,1st to jump; kept on to score when asked in the Straight.,2016-08-19,1050,WET,3,SHA TIN,ALL WEATHER TRACK,,歡樂三笑 (V162),羅理雅,霍利時,,"起步敏捷, 直路考驗到底",濕地,沙田,全天候賽道
3825,10,HAPPY TOGETHER(T433),T H So,A Lee,07,B,16L,10 10 10,0.49.37,Last to jump; never in contention.,2016-04-26,800,GOOD,5,SHA TIN,TURF,Failed,開心寶 (T433),蘇狄雄,李易達,不及格,起步最慢，從未參予競走,好地,沙田,草地
3826,7,HAPPY WAY WINNER(V224),M L Yeung,K W Lui,04,H,13-3/4L,6 7 7,0.48.52,Ran on ordinary; never in contention.,2016-04-05,800,GOOD,6,SHA TIN,TURF,Failed,勝途勇士 (V224),楊明綸,呂健威,不及格,走勢乏力，遠離水準,好地,沙田,草地
3827,8,HAPPY WAY WINNER(V224),M L Yeung,K W Lui,04,H,2L,7 7 8,0.47.15,Blocked throughout; under a hold late.,2016-04-26,800,GOOD,5,SHA TIN,TURF,Passed,勝途勇士 (V224),楊明綸,呂健威,及格,全程無位，末段按返,好地,沙田,草地
3828,3,HAPPY YEAH YEAH(M085),M L Yeung,A Lee,01,V,1-3/4L,3 3 3,1.01.95,Being hard ridden to stay on for 3rd.,2015-09-18,1200,GOOD,3,SHA TIN,ALL WEATHER TRACK,Passed,享耆成 (M085),楊明綸,李易達,及格,大力推騎，保住一席,好地,沙田,全天候賽道
3829,1,HAPPY YEAH YEAH(M085),M L Yeung,A Lee,01,V,,2 1 1,1.09.50,Urged to lead along rail; ridden out to score.,2015-11-06,1200,GOOD,1,SHA TIN,ALL WEATHER TRACK,,享耆成 (M085),楊明綸,李易達,,沿欄搶放，考驗到底,好地,沙田,全天候賽道
3830,1,HAPPY YEAH YEAH(M085),M L Yeung,A Lee,04,V,,2 1 1,1.00.88,Hit the front in the straight; kept on well to score.,2016-01-08,1200,GOOD,4,SHA TIN,ALL WEATHER TRACK,,享耆成 (M085),楊明綸,李易達,,"直路透出, 直領到底",好地,沙田,全天候賽道
3831,1,HAPPY YEAH YEAH(M085),M L Yeung,A Lee,05,V,,1 1 1,1.02.53,Led all the way to score.,2016-03-22,1200,WET,4,SHA TIN,ALL WEATHER TRACK,,享耆成 (M085),楊明綸,李易達,,"速高帶到, 一氣呵成",濕地,沙田,全天候賽道
3832,2,HAPPY YEAH YEAH(M085),M L Yeung,A Lee,05,V,2-1/2L,1 1 2,1.11.08,Led centre track; kept on for 2nd.,2017-01-20,1200,GOOD,2,SHA TIN,ALL WEATHER TRACK,Passed,享耆成 (M085),楊明綸,李易達,及格,"中檔搶放, 仲有兩腳",好地,沙田,全天候賽道
3833,1,HAPPY YEAH YEAH(M085),M L Yeung,A Lee,06,V,,2 1 1,1.01.76,Hit the front at turn; ran on strongly to score.,2016-09-23,1200,GOOD,4,SHA TIN,ALL WEATHER TRACK,Passed,享耆成 (M085),楊明綸,李易達,及格,彎位透出，直奔終點,好地,沙田,全天候賽道
3834,3,HAPPY YEAH YEAH(M085),M L Yeung,A Lee,07,V,4-1/2L,4 4 3,1.01.18,On pace early; came well from behind for 3rd.,2016-10-04,1000,GOOD,12,SHA TIN,TURF,,享耆成 (M085),楊明綸,李易達,,"後上第三, 仲有兩腳",好地,沙田,草地
3835,3,HAPPY YEAH YEAH(M085),M L Yeung,A Lee,11,V,2-1/2L,5 4 3,1.01.50,On-pace early; ran on for 3rd when asked.,2015-09-29,200,GOOD,3,SHA TIN,ALL WEATHER TRACK,,享耆成 (M085),楊明綸,李易達,,"前列跟跑, 推騎第三",好地,沙田,全天候賽道
3836,3,HAPPY YEAH YEAH(M085),M L Yeung,A Lee,12,V,1-3/4L,5 7 3,1.01.32,Ran on for 3rd when asked in the straight.,2015-12-29,1200,GOOD,5,SHA TIN,ALL WEATHER TRACK,,享耆成 (M085),楊明綸,李易達,,直路考驗，闖入一席,好地,沙田,全天候賽道
3837,3,HAR HAR CHARMING(S440),C Schofield,T P Yung,07,,1-3/4L,1 3 3,0.59.02,Ran on for 3rd when being asked late.,2015-11-10,1000,GOOD,4,SHA TIN,TURF,,哈哈其妙 (S440),史卓豐,容天鵬,,末段推騎，闖入一席,好地,沙田,草地
3838,10,HAR HAR CHARMING(S440),C Schofield,T P Yung,09,PC,12-1/4L,2 8 10,1.03.23,On-pace early; weakened badly late.,2015-10-27,300,GOOD,4,SHA TIN,ALL WEATHER TRACK,,哈哈其妙 (S440),史卓豐,容天鵬,,"早段唔慢, 直路乏力墮退",好地,沙田,全天候賽道
3839,5,HAR HAR CHARMING(S440),D Lane,T P Yung,07,PC,5L,5 5 5,0.58.66,Midfield throughout; ran on ok.,2015-06-09,1000,GOOD,2,SHA TIN,TURF,Passed,哈哈其妙 (S440),連達文,容天鵬,及格,"不上不落, 但走勢不俗",好地,沙田,草地
3840,9,HAR HAR CHARMING(S440),H W Lai,T K Ng,02,,19-1/2L,7 7 9,1.14.93,Ran on ordinary; unimpressive.,2016-11-22,800,WET,10,SHA TIN,TURF,,哈哈其妙 (S440),黎海榮,吳定強,,"走勢乏力, 毫無好感",濕地,沙田,草地
3841,6,HAR HAR CHARMING(S440),M Chadwick,T K Ng,02,,4L,6 7 7 6,1.49.83,Ran on ordinary; unimpressive.,2017-02-18,300,GOOD,2,HAPPY VALLEY,TURF,,哈哈其妙 (S440),蔡明紹,吳定強,,走勢平常，毫無好感,好地,跑馬地,草地
3842,5,HAR HAR CHARMING(S440),T H So,T K Ng,02,,3-1/2L,5 5 5,1.02.61,Limited response when under whip at 200m.,2017-03-24,300,GOOD,2,SHA TIN,ALL WEATHER TRACK,Passed,哈哈其妙 (S440),蘇狄雄,吳定強,及格,"二百開鞭, 反應一般",好地,沙田,全天候賽道
3843,7,HAR HAR CHARMING(S440),T H So,T K Ng,06,,7-3/4L,7 6 7,1.14.19,Wide throughout; ran on ordinary.,2017-01-21,1200,GOOD,5,HAPPY VALLEY,TURF,,哈哈其妙 (S440),蘇狄雄,吳定強,,沿途外疊，走勢平常,好地,跑馬地,草地
3844,10,HAR HAR CHARMING(S440),T H So,T K Ng,10,,14L,8 9 10,1.13.16,Found nothing when asked in the Straight.,2017-01-10,1200,GOOD,2,SHA TIN,ALL WEATHER TRACK,,哈哈其妙 (S440),蘇狄雄,吳定強,,"直路有騎, 毫無反應",好地,沙田,全天候賽道
3845,9,HAR HAR CHARMING(S440),W M Lai,T K Ng,01,,15-1/2L,10 9 9,1.12.60,Slightly slow to begin; found nothing when asked.,2017-06-30,1200,GOOD,2,SHA TIN,ALL WEATHER TRACK,,哈哈其妙 (S440),賴維銘,吳定強,,"起步稍慢, 騎都唔郁",好地,沙田,全天候賽道
3846,9,HAR HAR HEART(A224),C Y Ho,J Size,03,,3-1/4L,3 3 9,1.13.80,Not quickened when asked at turn.,2017-04-01,1200,GOOD,3,HAPPY VALLEY,TURF,,歡喜心 (A224),何澤堯,蔡約翰,,彎位已騎，未見加速,好地,跑馬地,草地
3847,4,HAR HAR HEART(A224),J Moreira,J Size,02,,4-3/4L,5 5 4,1.13.48,Ran 4th when asked late; moved better than before.,2017-06-10,1200,GOOD,3,HAPPY VALLEY,TURF,,歡喜心 (A224),莫雷拉,蔡約翰,,末段輕騎第四，有點進步,好地,跑馬地,草地
3848,10,HAR HAR HEART(A224),J Moreira,J Size,03,,10-1/2L,5 4 10,1.11.29,Asked at turn; limited response in the Straight.,2017-03-21,400,GOOD,8,SHA TIN,TURF,,歡喜心 (A224),莫雷拉,蔡約翰,,"轉彎已騎, 直路唔多",好地,沙田,草地
3849,9,HAR HAR HEART(A224),J Moreira,J Size,05,,10-1/2L,7 8 9,1.00.84,Found nothing when asked at 600m.,2017-02-21,400,GOOD,2,SHA TIN,TURF,Passed,歡喜心 (A224),莫雷拉,蔡約翰,及格,六百已騎，步重力弱,好地,沙田,草地
3850,3,HAR HAR HEART(A224),K Teetan,J Size,01,,1L,2 2 3,1.13.10,Shared lead early; kept on late.,2017-03-04,200,GOOD,3,HAPPY VALLEY,TURF,Passed,歡喜心 (A224),田泰安,蔡約翰,及格,拍實鬥放，末段唔斷,好地,跑馬地,草地
3851,7,HAR HAR HEART(A224),M Chadwick,J Size,08,,3-3/4L,8 7 7,1.12.09,Wide throughout; ran on ordinary when asked.,2017-04-25,800,GOOD,7,SHA TIN,TURF,,歡喜心 (A224),蔡明紹,蔡約翰,,"全程外疊, 推騎欠勁",好地,沙田,草地
3852,6,HAR HAR HEART(A224),M L Yeung,J Size,04,,5-3/4L,9 7 6,1.12.15,Tardy start; being hard ridden when shifted to the inside rail in the Straight.,2017-04-11,1000,GOOD,11,SHA TIN,TURF,,歡喜心 (A224),楊明綸,蔡約翰,,"起步麻麻, 直路攝內欄力騎",好地,沙田,草地
3853,2,HARBOUR ALERT(T254),B Prebble,P O'Sullivan,02,,1/2L,1 1 2,1.01.01,Led early; just caught.,2016-03-29,1200,GOOD,4,SHA TIN,TURF,,香江穩勝 (T254),柏寶,蘇保羅,,沿途帶放，拉士被過,好地,沙田,草地
3854,2,HARBOUR ALERT(T254),B Prebble,P O'Sullivan,07,,Head,1 1 2,1.01.44,Urged to lead early; ran on comfortably for 2nd.,2016-04-19,1050,GOOD,3,SHA TIN,ALL WEATHER TRACK,,香江穩勝 (T254),柏寶,蘇保羅,,"沿途帶放, 見好即收",好地,沙田,全天候賽道
3855,1,HARBOUR ALERT(T254),G Mosse,D Cruz,07,,,1 1 1,1.01.00,Jumped well to lead; strode out well to win.,2015-06-26,1050,WET,4,SHA TIN,ALL WEATHER TRACK,Passed,香江穩勝 (T254),巫斯義,告達理,及格,"起步最快, 大步帶到",濕地,沙田,全天候賽道
3856,2,HARBOUR ALERT(T254),K K Chiong,P O'Sullivan,02,,2L,1 1 2,1.11.17,Jumped away well; under a hold in the Straight to run 2nd.,2016-11-18,1200,GOOD,1,SHA TIN,ALL WEATHER TRACK,,香江穩勝 (T254),蔣嘉琦,蘇保羅,,起步敏捷，直路按返,好地,沙田,全天候賽道
3857,4,HARBOUR ALERT(T254),K K Chiong,P O'Sullivan,09,,1-1/2L,1 1 4,1.02.35,Led along the rail; under a hold in the Straight.,2016-12-23,1200,GOOD,3,SHA TIN,ALL WEATHER TRACK,,香江穩勝 (T254),蔣嘉琦,蘇保羅,,搶欄帶放，直路按番住,好地,沙田,全天候賽道
3858,7,HARBOUR ALERT(T254),M F Poon,P O'Sullivan,06,,3-3/4L,1 1 7,1.02.35,Led early; under a hold in the Straight.,2017-05-23,1200,WET,4,SHA TIN,ALL WEATHER TRACK,,香江穩勝 (T254),潘明輝,蘇保羅,,"搶放兩段, 直路按返",濕地,沙田,全天候賽道
3859,6,HARBOUR ALERT(T254),M F Poon,P O'Sullivan,07,,9-1/2L,1 2 6,1.01.87,Up with the pace; under a hold in the Straight.,2017-06-02,300,GOOD,4,SHA TIN,ALL WEATHER TRACK,,香江穩勝 (T254),潘明輝,蘇保羅,,跟前，直路扣實而回,好地,沙田,全天候賽道
3860,1,HARBOUR ALERT(T254),N Callan,P O'Sullivan,04,,,2 2 1,1.01.45,On pace early; hit the line strongly to score.,2016-09-13,200,GOOD,4,SHA TIN,ALL WEATHER TRACK,,香江穩勝 (T254),郭能,蘇保羅,,跟前，直路一揮即就,好地,沙田,全天候賽道
3861,1,HARBOUR ALERT(T254),S de Sousa,D Cruz,01,H,,1 1 1,0.59.92,First to jump; ridden along in the straight to score.,2016-02-05,300,GOOD,4,SHA TIN,ALL WEATHER TRACK,,香江穩勝 (T254),蘇兆輝,告達理,,應聲彈出，直路繼續考驗到底,好地,沙田,全天候賽道
3862,2,HARBOUR MASTER(S145),C W Wong,J Moore,08,SR,3L,8 8 2,1.11.54,Shifted out in the straight; ran on for 2nd when asked.,2016-01-26,1200,GOOD,1,SHA TIN,ALL WEATHER TRACK,,活力歡騰 (S145),王志偉,約翰摩亞,,直路移出，推騎第二,好地,沙田,全天候賽道
3863,7,HARBOUR MASTER(S145),C W Wong,J Moore,12,SR,8-1/2L,12 12 7,1.12.31,Taken back early; ran on well when clear.,2015-09-22,800,WET,10,SHA TIN,TURF,,活力歡騰 (S145),王志偉,約翰摩亞,,"早段稍留, 望空湧上",濕地,沙田,草地
3864,4,HARBOUR MASTER(S145),D Whyte,J Moore,01,SR,6-1/4L,5 4 4 4,1.38.18,Limited response when under whip early Straight.,2017-05-09,400,GOOD,7,SHA TIN,TURF,,活力歡騰 (S145),韋達,約翰摩亞,,直路初開鞭，無乜進展,好地,沙田,草地
3865,7,HARBOUR MASTER(S145),D Whyte,J Moore,03,SR,8-3/4L,6 6 7,1.11.79,Limited response when under whip at 200m.,2017-03-14,1200,GOOD,2,SHA TIN,TURF,,活力歡騰 (S145),韋達,約翰摩亞,,二百開鞭，騎落一般,好地,沙田,草地
3866,7,HARBOUR MASTER(S145),D Whyte,J Moore,06,SR,10-1/4L,6 5 5 7,1.39.22,Taken back early; ran on ordinary.,2017-04-11,1000,GOOD,9,SHA TIN,TURF,,活力歡騰 (S145),韋達,約翰摩亞,,"留前試後, 走勢平常",好地,沙田,草地
3867,4,HARBOUR MASTER(S145),J Moreira,J Moore,02,SR,6-1/2L,5 5 4,1.11.81,Hit the line strongly when shifted out at 300m.,2017-01-24,1200,GOOD,1,SHA TIN,ALL WEATHER TRACK,,活力歡騰 (S145),莫雷拉,約翰摩亞,,"三百移出, 愈追愈勁",好地,沙田,全天候賽道
3868,6,HARBOUR MASTER(S145),S Clipperton,J Moore,09,SR,2-1/4L,9 7 6,1.12.10,Eased back early; made progress when shifted out in the Straight.,2016-09-27,1200,GOOD,1,SHA TIN,ALL WEATHER TRACK,,活力歡騰 (S145),祈普敦,約翰摩亞,,早段稍留，直路移出，推騎追趕,好地,沙田,全天候賽道
3869,8,HARBOUR MASTER(S145),S Clipperton,J Moore,09,SR,4-3/4L,6 8 8,1.11.37,Wide throughout; failed to respond under whip in the Straight.,2017-05-23,1200,WET,1,SHA TIN,ALL WEATHER TRACK,,活力歡騰 (S145),祈普敦,約翰摩亞,,全程外疊，直路鞭騎欠勁,濕地,沙田,全天候賽道
3870,1,HARBOUR NOVA(T432),C Schofield,D Cruz,02,,,7 5 1,1.14.13,Taken back early; quickened in the straight to score.,2015-11-27,1200,GOOD,4,HAPPY VALLEY,TURF,,香江新星 (T432),史卓豐,告達理,,早段稍留，直路加速取勝,好地,跑馬地,草地
3871,3,HARBOUR NOVA(T432),C Schofield,P O'Sullivan,01,,1-1/4L,5 6 3,1.02.12,Under restraint midfield; hit the line strongly for 3rd.,2016-09-09,1200,GOOD,3,SHA TIN,ALL WEATHER TRACK,,香江新星 (T432),史卓豐,蘇保羅,,"扣實居中, 拉士撲上",好地,沙田,全天候賽道
3872,7,HARBOUR NOVA(T432),C Schofield,P O'Sullivan,03,B,4L,6 5 7,1.12.55,No clear running in the Straight; under a hold and not fully tested.,2016-11-18,1200,GOOD,3,SHA TIN,ALL WEATHER TRACK,,香江新星 (T432),史卓豐,蘇保羅,,直路受困，扣實未試,好地,沙田,全天候賽道
3873,1,HARBOUR NOVA(T432),J Moreira,D Cruz,03,,,6 4 1,0.46.58,Made ground steadily; came from behind to score.,2015-10-09,1000,GOOD,6,SHA TIN,TURF,Passed,香江新星 (T432),莫雷拉,告達理,及格,分段加快，後上掄元,好地,沙田,草地
3874,3,HARBOUR NOVA(T432),K C Leung,P O'Sullivan,09,,3L,4 2 3,1.01.88,On-pace early; flattened late to run 3rd.,2016-04-19,1050,GOOD,3,SHA TIN,ALL WEATHER TRACK,,香江新星 (T432),梁家俊,蘇保羅,,"跟前入位, 但拉士力度已減",好地,沙田,全天候賽道
3875,2,HARBOUR NOVA(T432),K C Leung,P O'Sullivan,09,,1-1/4L,10 10 2,1.01.78,Made good ground for 2nd when shifted out in the Straight.,2016-05-13,1200,GOOD,4,SHA TIN,ALL WEATHER TRACK,,香江新星 (T432),梁家俊,蘇保羅,,"直路移出, 佳勢上前",好地,沙田,全天候賽道
3876,4,HARBOUR NOVA(T432),K Teetan,P O'Sullivan,04,B,2L,6 6 4,1.02.28,Slow to begin; made progress under a hold; impressive.,2017-01-17,1200,GOOD,9,SHA TIN,TURF,,香江新星 (T432),田泰安,蘇保羅,,"起步稍慢, 按住上前, 表現引人",好地,沙田,草地
3877,4,HARBOUR PUNK(S262),G Benoist,D Cruz,04,XB,1-3/4L,7 7 4,1.10.49,Made ground steadily; close in the finish.,2015-11-20,1200,GOOD,1,SHA TIN,ALL WEATHER TRACK,Failed,香江福星 (S262),貝諾華,告達理,不及格,逐步加速，後上接近,好地,沙田,全天候賽道
3878,3,HARBOUR PUNK(S262),J Moreira,D Cruz,04,XB,4L,5 5 3,1.02.82,Ran on well for 3rd when under a hold in the straight.,2015-09-18,200,GOOD,4,SHA TIN,ALL WEATHER TRACK,,香江福星 (S262),莫雷拉,告達理,,"直路按住, 從容第三",好地,沙田,全天候賽道
3879,9,HARBOUR VICTORY(T016),B Prebble,W Y So,02,,11L,10 10 9,0.59.47,Taken back early; not fully tested.,2016-06-14,400,GOOD,3,SHA TIN,TURF,,香江永勝 (T016),柏寶,蘇偉賢,,刻意拖後，未受考驗,好地,沙田,草地
3880,3,HARBOUR VICTORY(T016),K C Leung,D Cruz,09,B/H,3-1/4L,3 3 3,0.47.07,Raced on the outside; kept on comfortably for 3rd.,2016-02-02,400,GOOD,7,SHA TIN,TURF,Passed,香江永勝 (T016),梁家俊,告達理,及格,靠外檔走，輕鬆第三,好地,沙田,草地
3881,5,HARBOUR VICTORY(T016),V Cheminaud,D Cruz,03,H,3-1/4L,6 6 5,1.12.83,Difficult to load; ran on ordinary.,2015-12-04,1200,GOOD,2,SHA TIN,ALL WEATHER TRACK,,香江永勝 (T016),湛明諾,告達理,,"入閘麻煩, 走勢牽強",好地,沙田,全天候賽道
3882,3,HARD BALL GET(P373),N Callan,D J Hall,07,CP,3L,5 5 3,1.11.90,Ran on well when under a hold late.,2015-09-11,200,GOOD,2,SHA TIN,ALL WEATHER TRACK,,揮闖 (P373),郭能,賀賢,,末段按實，佳勢上前,好地,沙田,全天候賽道
3883,2,HARD BALL GET(P373),N Callan,D J Hall,08,CP,1-1/4L,3 2 2,0.57.62,On-pace early; impressive run.,2015-06-09,400,GOOD,3,SHA TIN,TURF,,揮闖 (P373),郭能,賀賢,,"跟前入位, 表現吸引",好地,沙田,草地
3884,5,HARMONY PARTNERS(V160),C Schofield,D Cruz,06,,7-3/4L,6 6 5,1.00.10,Under restraint early; raced behind runners.,2016-01-19,1000,GOOD,2,SHA TIN,TURF,Passed,開心拍檔 (V160),史卓豐,告達理,及格,早段抽實，刻意跟馬跑,好地,沙田,草地
3885,10,HARMONY PARTNERS(V160),G Schofield,D Cruz,04,,8-1/4L,4 4 10,1.14.71,Asked at turn; weakened badly.,2016-02-13,1200,GOOD,4,HAPPY VALLEY,TURF,,開心拍檔 (V160),史科菲,告達理,,"轉彎已騎, 乏力墮退",好地,跑馬地,草地
3886,5,HARMONY PARTNERS(V160),S de Sousa,D Cruz,09,,4-3/4L,4 7 5,1.00.10,Hung in late; raced greenly.,2016-02-02,400,GOOD,5,SHA TIN,TURF,Passed,開心拍檔 (V160),蘇兆輝,告達理,及格,末段內閃，仍覺稚嫩,好地,沙田,草地
3887,5,HARRIER JET(T372),C Schofield,P O'Sullivan,01,B,3-1/2L,5 5 5,1.11.86,Settled midfield; ran on fairly well.,2016-01-12,1200,GOOD,2,SHA TIN,ALL WEATHER TRACK,,騰龍超影 (T372),史卓豐,蘇保羅,,"不上不落, 但走勢不弱",好地,沙田,全天候賽道
3888,5,HARRIER JET(T372),K C Leung,P O'Sullivan,06,B,24-1/4L,6 5 5,1.05.20,Under a hold throughout; ran on fairly.,2016-04-26,1200,WET,8,SHA TIN,TURF,,騰龍超影 (T372),梁家俊,蘇保羅,,"按住跟跑, 但試來一般",濕地,沙田,草地
3889,4,HARRIER JET(T372),N Rawiller,P O'Sullivan,06,,4-3/4L,2 3 4,1.01.43,Up with the pace under a hold; never tested.,2015-09-05,200,GOOD,6,HAPPY VALLEY,TURF,Passed,騰龍超影 (T372),羅理雅,蘇保羅,及格,前列跟跑，扣實未試,好地,跑馬地,草地
3890,2,HARRIER JET(T372),Z Purton,P O'Sullivan,02,B,Neck,8 7 2,0.59.42,Raced keenly early; quickened well when asked.,2015-10-09,1000,GOOD,1,SHA TIN,TURF,Passed,騰龍超影 (T372),潘頓,蘇保羅,及格,早段搶口，一騎即有,好地,沙田,草地
3891,5,HARRIER JET(T372),Z Purton,P O'Sullivan,02,B,2L,4 4 5,1.11.08,Raced under his own steam; nearest at finish under a hold.,2016-10-25,1200,GOOD,1,SHA TIN,ALL WEATHER TRACK,,騰龍超影 (T372),潘頓,蘇保羅,,紋風未動，按住仍近,好地,沙田,全天候賽道
3892,4,HARRIER JET(T372),Z Purton,P O'Sullivan,03,B,2-3/4L,5 5 4,1.01.90,Raced under his own steam when shifted out in the Straight.,2016-09-19,1050,GOOD,3,SHA TIN,ALL WEATHER TRACK,,騰龍超影 (T372),潘頓,蘇保羅,,"直路移出, 按住順走",好地,沙田,全天候賽道
3893,6,HARRIER JET(T372),Z Purton,P O'Sullivan,03,V,2-1/4L,3 3 6,1.11.21,On pace early; under a hold late.,2017-03-07,400,GOOD,10,SHA TIN,TURF,,騰龍超影 (T372),潘頓,蘇保羅,,"早段唔慢, 拉士按返",好地,沙田,草地
3894,9,HARRIER JET(T372),Z Purton,P O'Sullivan,04,,3-1/2L,3 8 9,0.59.24,Up with the pace early; under a hold late.,2015-09-22,1000,GOOD,3,SHA TIN,TURF,,騰龍超影 (T372),潘頓,蘇保羅,,早段唔慢，末段按番住,好地,沙田,草地
3895,2,HARRIER JET(T372),Z Purton,P O'Sullivan,06,B,1-1/2L,2 2 2,1.01.81,Ran on comfortably under a hold for 2nd.,2015-11-10,1200,GOOD,12,SHA TIN,TURF,,騰龍超影 (T372),潘頓,蘇保羅,,"扣實第二, 姿態從容",好地,沙田,草地
3896,1,HARRIER JET(T372),Z Purton,P O'Sullivan,08,B,,1 1 1,1.10.53,Urged to lead along rail; breather at turn; ran on again late to score.,2016-10-07,1200,GOOD,1,SHA TIN,ALL WEATHER TRACK,,騰龍超影 (T372),潘頓,蘇保羅,,"起步搶欄, 彎位回氣, 拉士再衝",好地,沙田,全天候賽道
3897,9,HARRIER(V158),K C Leung,P O'Sullivan,04,,7-1/4L,7 6 8,0.59.37,Not quickened when being asked late.,2016-03-01,300,GOOD,3,SHA TIN,TURF,,獵鷹 (V158),梁家俊,蘇保羅,,末段推騎，未見加速,好地,沙田,草地
3898,6,HARRIER(V158),K C Leung,P O'Sullivan,05,,4-1/2L,3 5 6,0.59.04,Not quickened when under whip late.,2016-04-26,1000,GOOD,3,SHA TIN,TURF,,獵鷹 (V158),梁家俊,蘇保羅,,拉士鞭騎，未見加速,好地,沙田,草地
3899,4,HARRIER(V158),K C Leung,P O'Sullivan,06,,4L,4 4 4,1.01.15,Wide at turn; raced greenly.,2016-01-16,1000,GOOD,8,HAPPY VALLEY,TURF,,獵鷹 (V158),梁家俊,蘇保羅,,"蝕位轉彎, 走勢仍嫩",好地,跑馬地,草地
3900,6,HARRIER(V158),K C Leung,P O'Sullivan,08,,14L,2 5 6,0.47.35,Limited response when asked; unimpressive.,2015-12-22,1000,GOOD,7,SHA TIN,TURF,Passed,獵鷹 (V158),梁家俊,蘇保羅,及格,騎落一般，未見佳處,好地,沙田,草地
3901,7,HARRIER(V158),K C Leung,P O'Sullivan,10,,7-1/2L,5 8 7,0.59.18,Ran on ordinary; unimpressive.,2016-04-05,300,GOOD,3,SHA TIN,TURF,,獵鷹 (V158),梁家俊,蘇保羅,,走勢一般，未有好感,好地,沙田,草地
3902,8,HARRIER(V158),N Rawiller,P O'Sullivan,01,,17-1/2L,8 8 8,1.03.11,Rearward early; never in contention.,2016-02-13,1200,GOOD,7,HAPPY VALLEY,TURF,,獵鷹 (V158),羅理雅,蘇保羅,,"落後跟跑, 從未參予競逐",好地,跑馬地,草地
