,plc,horse,jockey,trainer,draw,gear,lbw,runningpos,time,comment,date,distance,going,raceno,venue,course,result,horse_ch,jockey_ch,trainer_ch,result_ch,comment_ch,going_ch,venue_ch,course_ch
78,5,ACUMEN(T026),M L Yeung,C S Shum,06,B,3-3/4L,6 6 5,1.00.91,Wide throughout; ran on ok.,2016-02-13,1200,GOOD,7,HAPPY VALLEY,TURF,,眼光獨到 (T026),楊明綸,沈集成,,"全程外疊, 有點追勢",好地,跑馬地,草地
79,2,ACUMEN(T026),Z Purton,C S Shum,03,B,1L,9 8 2,0.58.64,Rearward early; quickened ok for 2nd when asked.,2015-08-29,300,GOOD,7,SHA TIN,TURF,,眼光獨到 (T026),潘頓,沈集成,,認真考驗，後上第二,好地,沙田,草地
80,7,ADDOLE(S056),H N Wong,W Y So,01,,8-1/2L,3 3 7,1.04.29,Up with the pace early; flattened late.,2015-09-02,1050,WET,2,SHA TIN,ALL WEATHER TRACK,,創基寶 (S056),黃皓楠,蘇偉賢,,"早段唔慢, 末段勁平",濕地,沙田,全天候賽道
81,9,ADDOLE(S056),H N Wong,W Y So,07,,6-3/4L,6 6 9,1.11.12,Flattened halfway; dropped back to rear.,2015-10-27,1200,GOOD,3,SHA TIN,ALL WEATHER TRACK,,創基寶 (S056),黃皓楠,蘇偉賢,,"半程洩氣, 墮退而回",好地,沙田,全天候賽道
82,7,ADMIRABLE(V314),J Moreira,D J Hall,08,,3-3/4L,11 10 7,1.00.32,Responded fairly well when asked at 200m.,2016-10-04,1000,GOOD,5,SHA TIN,TURF,Passed,誰不羨 (V314),莫雷拉,賀賢,及格,二百輕騎兩步，反應不俗,好地,沙田,草地
83,5,ADMIRABLE(V314),K Teetan,D J Hall,03,CP,3-1/4L,1 1 5,1.12.06,Led early; under whip in the Straight.,2017-05-02,1200,GOOD,2,SHA TIN,ALL WEATHER TRACK,,誰不羨 (V314),田泰安,賀賢,,快放兩段，直路開鞭,好地,沙田,全天候賽道
84,2,ADMIRABLE(V314),K Teetan,D J Hall,09,CP,7-3/4L,1 2 2,1.01.46,Dashed on well; ran 2nd under a hold.,2017-04-07,200,GOOD,4,SHA TIN,ALL WEATHER TRACK,Passed,誰不羨 (V314),田泰安,賀賢,及格,按住第二，走勢不弱,好地,沙田,全天候賽道
85,5,ADMIRABLE(V314),O Murphy,D J Hall,09,,6-1/2L,5 3 5,0.59.74,Not quickened when asked late.,2016-12-13,200,GOOD,5,SHA TIN,TURF,,誰不羨 (V314),莫艾誠,賀賢,,末段有騎，無加速力,好地,沙田,草地
86,2,ADMIRABLE(V314),S Clipperton,D J Hall,01,B,3-1/2L,3 2 2,1.13.53,Asked at turn; struggled for 2nd.,2017-05-19,200,GOOD,3,HAPPY VALLEY,TURF,Passed,誰不羨 (V314),祈普敦,賀賢,及格,轉彎推騎，勉強入位,好地,跑馬地,草地
87,5,ADMIRABLE(V314),T H So,D J Hall,01,CP,5-1/2L,5 4 5,0.59.54,Settled midfield; ran on fairly.,2017-03-04,1200,GOOD,5,HAPPY VALLEY,TURF,,誰不羨 (V314),蘇狄雄,賀賢,,居中跟跑，中規中矩,好地,跑馬地,草地
