,date,horse_code,appear_cum,win_cum,top3_cum,class,class_change,win_rate,top3_rate,win_rate_pct_change,top3_pct_change
172,2016-03-28,V223,0,0,0,4,0.0,0.0,0.0,0.0,0.0
173,2016-03-31,S051,0,0,0,5,0.0,0.0,0.0,0.0,0.0
174,2016-04-03,S244,0,0,0,5,0.0,0.0,0.0,0.0,0.0
175,2016-04-06,P378,0,0,0,5,0.0,0.0,0.0,0.0,0.0
176,2016-04-10,T079,0,0,0,5,0.0,0.0,0.0,0.0,0.0
177,2016-04-13,T024,0,0,0,4,0.0,0.0,0.0,0.0,0.0
178,2016-04-16,V082,0,0,0,1,0.0,0.0,0.0,0.0,0.0
179,2016-04-20,P085,0,0,0,4,0.0,0.0,0.0,0.0,0.0
180,2016-04-24,V069,0,0,0,4,0.0,0.0,0.0,0.0,0.0
181,2016-04-27,T209,0,0,0,4,0.0,0.0,0.0,0.0,0.0
183,2016-05-07,S244,1,1,1,4,-1.0,1.0,1.0,0.0,0.0
184,2016-05-18,T379,0,0,0,4,0.0,0.0,0.0,0.0,0.0
185,2016-05-22,S074,0,0,0,5,0.0,0.0,0.0,0.0,0.0
186,2016-05-29,T108,0,0,0,5,0.0,0.0,0.0,0.0,0.0
187,2016-06-01,S337,1,1,1,4,0.0,1.0,1.0,0.0,0.0
188,2016-06-05,S131,0,0,0,5,0.0,0.0,0.0,0.0,0.0
189,2016-06-12,K212,1,1,1,5,0.0,1.0,1.0,0.0,0.0
190,2016-06-15,T368,0,0,0,4,0.0,0.0,0.0,0.0,0.0
191,2016-06-19,S055,0,0,0,4,0.0,0.0,0.0,0.0,0.0
192,2016-06-22,S047,0,0,0,4,0.0,0.0,0.0,0.0,0.0
193,2016-07-01,T073,0,0,0,4,0.0,0.0,0.0,0.0,0.0
194,2016-07-06,S097,0,0,0,5,0.0,0.0,0.0,0.0,0.0
195,2016-09-18,V328,0,0,0,4,0.0,0.0,0.0,0.0,0.0
196,2016-09-21,P088,1,1,1,5,0.0,1.0,1.0,0.0,0.0
197,2016-09-28,T312,0,0,0,4,0.0,0.0,0.0,0.0,0.0
198,2016-10-01,S245,0,0,0,4,0.0,0.0,0.0,0.0,0.0
199,2016-10-05,S317,0,0,0,4,0.0,0.0,0.0,0.0,0.0
200,2016-10-08,T418,1,1,1,5,0.0,1.0,1.0,0.0,0.0
201,2016-10-12,V090,0,0,0,5,0.0,0.0,0.0,0.0,0.0
202,2016-10-23,T184,0,0,0,4,0.0,0.0,0.0,0.0,0.0
203,2016-10-26,T282,0,0,0,5,0.0,0.0,0.0,0.0,0.0
204,2016-11-02,N360,0,0,0,4,0.0,0.0,0.0,0.0,0.0
205,2016-11-23,P088,2,2,2,5,0.0,1.0,1.0,0.0,0.0
206,2016-11-27,T274,0,0,0,5,0.0,0.0,0.0,0.0,0.0
207,2016-12-04,T283,1,1,1,5,0.0,1.0,1.0,0.0,0.0
208,2016-12-07,V057,0,0,0,3,0.0,0.0,0.0,0.0,0.0
209,2016-12-11,V125,0,0,0,3,0.0,0.0,0.0,0.0,0.0
210,2016-12-14,T289,0,0,0,5,0.0,0.0,0.0,0.0,0.0
211,2016-12-17,A064,0,0,0,4,0.0,0.0,0.0,0.0,0.0
212,2017-01-01,T099,1,1,1,4,0.0,1.0,1.0,0.0,0.0
213,2017-01-04,V286,0,0,0,4,0.0,0.0,0.0,0.0,0.0
214,2017-01-08,V270,0,0,0,4,0.0,0.0,0.0,0.0,0.0
215,2017-01-11,T334,0,0,0,4,0.0,0.0,0.0,0.0,0.0
216,2017-01-14,P422,1,1,1,4,0.0,1.0,1.0,0.0,0.0
217,2017-01-18,S205,2,2,2,5,0.0,1.0,1.0,0.0,0.0
218,2017-01-22,V024,0,0,0,4,0.0,0.0,0.0,0.0,0.0
219,2017-01-25,T288,1,1,1,5,0.0,1.0,1.0,0.0,0.0
220,2017-02-02,V039,0,0,0,5,0.0,0.0,0.0,0.0,0.0
221,2017-03-05,V038,0,0,0,5,0.0,0.0,0.0,0.0,0.0
222,2017-03-08,V229,0,0,0,4,0.0,0.0,0.0,0.0,0.0
223,2017-03-12,V290,0,0,0,4,0.0,0.0,0.0,0.0,0.0
224,2017-03-15,S286,0,0,0,5,0.0,0.0,0.0,0.0,0.0
225,2017-03-22,T324,0,0,0,4,0.0,0.0,0.0,0.0,0.0
226,2017-03-26,V038,1,1,1,4,-1.0,1.0,1.0,0.0,0.0
227,2017-03-29,S367,1,1,1,5,0.0,1.0,1.0,0.0,0.0
228,2017-04-05,V189,1,1,1,4,-1.0,1.0,1.0,0.0,0.0
229,2017-04-09,V025,0,0,0,4,0.0,0.0,0.0,0.0,0.0
230,2017-04-12,V012,0,0,0,4,0.0,0.0,0.0,0.0,0.0
231,2017-04-17,N432,1,1,1,5,0.0,1.0,1.0,0.0,0.0
232,2017-05-03,V164,0,0,0,5,0.0,0.0,0.0,0.0,0.0
233,2017-05-10,V012,1,1,1,4,0.0,1.0,1.0,0.0,0.0
234,2017-05-13,P373,0,0,0,4,0.0,0.0,0.0,0.0,0.0
235,2017-05-17,P324,0,0,0,5,0.0,0.0,0.0,0.0,0.0
236,2017-05-21,S367,2,2,2,5,0.0,1.0,1.0,0.0,0.0
237,2017-05-31,V060,0,0,0,5,0.0,0.0,0.0,0.0,0.0
238,2017-06-04,A257,0,0,0,4,0.0,0.0,0.0,0.0,0.0
239,2017-06-07,T300,0,0,0,5,0.0,0.0,0.0,0.0,0.0
240,2017-06-28,S073,0,0,0,4,0.0,0.0,0.0,0.0,0.0
241,2017-07-09,S241,0,0,0,5,0.0,0.0,0.0,0.0,0.0
242,2017-07-16,V406,0,0,0,5,0.0,0.0,0.0,0.0,0.0
243,2015-06-03,S445,0,0,0,4,0.0,0.0,0.0,0.0,0.0
244,2015-06-07,T134,0,0,0,4,0.0,0.0,0.0,0.0,0.0
245,2015-06-10,N252,0,0,0,4,0.0,0.0,0.0,0.0,0.0
246,2015-06-14,P395,0,0,0,4,0.0,0.0,0.0,0.0,0.0
247,2015-06-17,S437,0,0,0,3,0.0,0.0,0.0,0.0,0.0
248,2015-06-21,S419,0,0,0,4,0.0,0.0,0.0,0.0,0.0
249,2015-06-24,T132,0,0,0,4,0.0,0.0,0.0,0.0,0.0
250,2015-06-27,S430,0,0,0,4,0.0,0.0,0.0,0.0,0.0
251,2015-07-01,S164,0,0,0,1,0.0,0.0,0.0,0.0,0.0
252,2015-07-05,P388,0,0,0,4,0.0,0.0,0.0,0.0,0.0
253,2015-07-08,P085,1,1,1,4,0.0,1.0,1.0,0.0,0.0
254,2015-07-12,N325,0,0,0,4,0.0,0.0,0.0,0.0,0.0
255,2015-09-06,S164,1,1,1,1,0.0,1.0,1.0,0.0,0.0
256,2015-09-09,P222,0,0,0,3,0.0,0.0,0.0,0.0,0.0
257,2015-09-13,S415,0,0,0,4,0.0,0.0,0.0,0.0,0.0
258,2015-09-23,P256,0,0,0,4,0.0,0.0,0.0,0.0,0.0
259,2015-10-14,N407,0,0,0,4,0.0,0.0,0.0,0.0,0.0
260,2015-10-18,S425,0,0,0,4,0.0,0.0,0.0,0.0,0.0
261,2015-10-22,S447,0,0,0,4,0.0,0.0,0.0,0.0,0.0
262,2015-10-25,T187,0,0,0,3,0.0,0.0,0.0,0.0,0.0
263,2015-11-01,P429,0,0,0,3,0.0,0.0,0.0,0.0,0.0
264,2015-11-08,S329,1,1,1,5,1.0,1.0,1.0,0.0,0.0
265,2015-11-11,S290,2,2,2,5,0.0,1.0,1.0,0.0,0.0
266,2015-11-14,S007,1,1,1,5,0.0,1.0,1.0,0.0,0.0
267,2015-11-18,S200,0,0,0,4,0.0,0.0,0.0,0.0,0.0
268,2015-11-21,T018,0,0,0,4,0.0,0.0,0.0,0.0,0.0
269,2015-11-25,N139,2,2,2,4,-1.0,1.0,1.0,0.0,0.0
270,2015-11-29,T192,0,0,0,4,0.0,0.0,0.0,0.0,0.0
271,2015-12-02,T383,0,0,0,4,0.0,0.0,0.0,0.0,0.0
272,2015-12-06,P286,0,0,0,5,0.0,0.0,0.0,0.0,0.0
273,2015-12-09,T291,0,0,0,3,0.0,0.0,0.0,0.0,0.0
274,2015-12-13,T348,0,0,0,3,0.0,0.0,0.0,0.0,0.0
275,2015-12-16,P355,0,0,0,3,0.0,0.0,0.0,0.0,0.0
276,2015-12-19,N134,0,0,0,4,0.0,0.0,0.0,0.0,0.0
277,2015-12-23,S216,0,0,0,3,0.0,0.0,0.0,0.0,0.0
278,2015-12-27,S113,1,1,1,4,0.0,1.0,1.0,0.0,0.0
279,2016-01-01,V059,0,0,0,4,0.0,0.0,0.0,0.0,0.0
280,2016-01-06,T146,0,0,0,3,0.0,0.0,0.0,0.0,0.0
281,2016-01-09,T027,0,0,0,4,0.0,0.0,0.0,0.0,0.0
282,2016-01-13,T262,0,0,0,4,0.0,0.0,0.0,0.0,0.0
283,2016-01-17,S374,0,0,0,4,0.0,0.0,0.0,0.0,0.0
284,2016-01-20,T230,0,0,0,4,0.0,0.0,0.0,0.0,0.0
285,2016-01-24,N272,0,0,0,5,0.0,0.0,0.0,0.0,0.0
286,2016-01-31,T341,0,0,0,4,0.0,0.0,0.0,0.0,0.0
287,2016-02-03,V153,0,0,0,4,0.0,0.0,0.0,0.0,0.0
288,2016-02-06,S035,0,0,0,5,0.0,0.0,0.0,0.0,0.0
289,2016-02-14,T357,1,1,1,3,-1.0,1.0,1.0,0.0,0.0
290,2016-02-17,V043,1,1,1,4,0.0,1.0,1.0,0.0,0.0
291,2016-03-02,M350,0,0,0,4,0.0,0.0,0.0,0.0,0.0
292,2016-03-06,T235,0,0,0,1,0.0,0.0,0.0,0.0,0.0
293,2016-03-09,T340,0,0,0,4,0.0,0.0,0.0,0.0,0.0
294,2016-03-13,S240,0,0,0,4,0.0,0.0,0.0,0.0,0.0
295,2016-03-16,P112,0,0,0,4,0.0,0.0,0.0,0.0,0.0
296,2016-03-20,T392,0,0,0,4,0.0,0.0,0.0,0.0,0.0
297,2016-03-23,S299,0,0,0,4,0.0,0.0,0.0,0.0,0.0
298,2016-03-28,V024,1,1,1,4,0.0,1.0,1.0,0.0,0.0
299,2016-03-31,S335,1,1,1,4,-1.0,1.0,1.0,0.0,0.0
300,2016-04-03,T211,0,0,0,1,0.0,0.0,0.0,0.0,0.0
301,2016-04-06,S156,0,0,0,1,0.0,0.0,0.0,0.0,0.0
302,2016-04-10,N443,0,0,0,5,0.0,0.0,0.0,0.0,0.0
303,2016-04-13,V222,0,0,0,4,0.0,0.0,0.0,0.0,0.0
304,2016-04-16,V066,0,0,0,4,0.0,0.0,0.0,0.0,0.0
305,2016-04-24,T373,0,0,0,4,0.0,0.0,0.0,0.0,0.0
306,2016-04-27,S176,0,0,0,5,0.0,0.0,0.0,0.0,0.0
307,2016-05-01,S098,0,0,0,4,0.0,0.0,0.0,0.0,0.0
308,2016-05-18,T105,1,1,1,4,-1.0,1.0,1.0,0.0,0.0
309,2016-05-22,T138,0,0,0,4,0.0,0.0,0.0,0.0,0.0
310,2016-05-29,T052,0,0,0,4,0.0,0.0,0.0,0.0,0.0
311,2016-06-01,T140,0,0,0,4,0.0,0.0,0.0,0.0,0.0
312,2016-06-05,V287,0,0,0,4,0.0,0.0,0.0,0.0,0.0
313,2016-06-12,N186,2,2,2,5,1.0,1.0,1.0,0.0,0.0
314,2016-06-15,T095,0,0,0,4,0.0,0.0,0.0,0.0,0.0
315,2016-06-19,V167,0,0,0,1,0.0,0.0,0.0,0.0,0.0
316,2016-06-22,T209,1,1,1,3,-1.0,1.0,1.0,0.0,0.0
317,2016-07-01,S081,0,0,0,4,0.0,0.0,0.0,0.0,0.0
318,2016-07-06,T324,1,1,1,4,0.0,1.0,1.0,0.0,0.0
319,2016-09-18,S131,1,1,1,4,-1.0,1.0,1.0,0.0,0.0
320,2016-09-21,T381,0,0,0,4,0.0,0.0,0.0,0.0,0.0
321,2016-09-28,P145,0,0,0,4,0.0,0.0,0.0,0.0,0.0
322,2016-10-01,V156,0,0,0,4,0.0,0.0,0.0,0.0,0.0
323,2016-10-05,V052,0,0,0,3,0.0,0.0,0.0,0.0,0.0
324,2016-10-08,V269,0,0,0,4,0.0,0.0,0.0,0.0,0.0
325,2016-10-12,S258,0,0,0,3,0.0,0.0,0.0,0.0,0.0
326,2016-10-30,V093,0,0,0,3,0.0,0.0,0.0,0.0,0.0
327,2016-11-02,T413,0,0,0,5,0.0,0.0,0.0,0.0,0.0
328,2016-11-20,T281,0,0,0,4,0.0,0.0,0.0,0.0,0.0
329,2016-11-23,N409,0,0,0,4,0.0,0.0,0.0,0.0,0.0
330,2016-11-27,T331,0,0,0,4,0.0,0.0,0.0,0.0,0.0
331,2016-12-04,S301,0,0,0,4,0.0,0.0,0.0,0.0,0.0
332,2016-12-07,V287,1,1,1,3,-1.0,1.0,1.0,0.0,0.0
333,2016-12-11,A025,0,0,0,3,0.0,0.0,0.0,0.0,0.0
334,2016-12-14,V039,1,1,1,5,0.0,1.0,1.0,0.0,0.0
335,2016-12-17,T009,0,0,0,2,0.0,0.0,0.0,0.0,0.0
336,2017-01-01,T202,0,0,0,5,0.0,0.0,0.0,0.0,0.0
337,2017-01-04,V387,0,0,0,4,0.0,0.0,0.0,0.0,0.0
338,2017-01-08,T179,0,0,0,1,0.0,0.0,0.0,0.0,0.0
339,2017-01-11,A009,0,0,0,4,0.0,0.0,0.0,0.0,0.0
340,2017-01-14,V398,0,0,0,4,0.0,0.0,0.0,0.0,0.0
341,2017-01-18,T009,1,1,1,1,-1.0,1.0,1.0,0.0,0.0
342,2017-01-22,V015,0,0,0,5,0.0,0.0,0.0,0.0,0.0
343,2017-01-25,T109,0,0,0,3,0.0,0.0,0.0,0.0,0.0
344,2017-02-15,T046,0,0,0,3,0.0,0.0,0.0,0.0,0.0
345,2017-03-01,V090,1,1,1,4,-1.0,1.0,1.0,0.0,0.0
