,date,jockey,appear_cum,win_cum,top2_cum,top3_cum,win_rate,top2_rate,top3_rate
189,2015-07-05,M L Yeung,64,4,7,16,0.0625,0.109375,0.25
190,2015-07-05,N Callan,50,4,12,18,0.08,0.24,0.36
191,2015-07-05,N Rawiller,50,4,10,15,0.08,0.2,0.3
192,2015-07-05,T H So,50,0,3,8,0.0,0.06,0.16
193,2015-07-05,W M Lai,29,1,1,3,0.034482758620689655,0.034482758620689655,0.10344827586206896
194,2015-07-05,Y T Cheng,28,1,2,6,0.03571428571428571,0.07142857142857142,0.21428571428571427
195,2015-07-05,Z Purton,57,12,19,23,0.21052631578947367,0.3333333333333333,0.40350877192982454
196,2015-07-08,A Suborics,60,5,13,18,0.08333333333333333,0.21666666666666667,0.3
197,2015-07-08,C K Tong,33,1,2,2,0.030303030303030304,0.06060606060606061,0.06060606060606061
198,2015-07-08,C Y Ho,62,5,6,9,0.08064516129032258,0.0967741935483871,0.14516129032258066
199,2015-07-08,D Lane,35,2,3,7,0.05714285714285714,0.08571428571428572,0.2
200,2015-07-08,G Mosse,73,13,20,25,0.1780821917808219,0.273972602739726,0.3424657534246575
201,2015-07-08,H W Lai,53,4,4,5,0.07547169811320754,0.07547169811320754,0.09433962264150944
202,2015-07-08,J Moreira,43,14,19,31,0.32558139534883723,0.4418604651162791,0.7209302325581395
203,2015-07-08,K C Leung,63,2,7,16,0.031746031746031744,0.1111111111111111,0.25396825396825395
204,2015-07-08,K C Ng,32,0,1,3,0.0,0.03125,0.09375
205,2015-07-08,M Chadwick,72,1,9,12,0.013888888888888888,0.125,0.16666666666666666
206,2015-07-08,M L Yeung,72,6,10,21,0.08333333333333333,0.1388888888888889,0.2916666666666667
207,2015-07-08,N Callan,59,6,15,22,0.1016949152542373,0.2542372881355932,0.3728813559322034
208,2015-07-08,N Rawiller,57,4,12,17,0.07017543859649122,0.21052631578947367,0.2982456140350877
209,2015-07-08,T H So,57,1,4,9,0.017543859649122806,0.07017543859649122,0.15789473684210525
210,2015-07-08,W M Lai,34,1,2,4,0.029411764705882353,0.058823529411764705,0.11764705882352941
211,2015-07-08,Y T Cheng,30,1,3,7,0.03333333333333333,0.1,0.23333333333333334
212,2015-07-08,Z Purton,67,12,19,23,0.1791044776119403,0.2835820895522388,0.34328358208955223
213,2015-07-12,A Suborics,68,5,14,19,0.07352941176470588,0.20588235294117646,0.27941176470588236
214,2015-07-12,C K Tong,38,1,2,2,0.02631578947368421,0.05263157894736842,0.05263157894736842
215,2015-07-12,C Y Ho,66,6,7,11,0.09090909090909091,0.10606060606060606,0.16666666666666666
216,2015-07-12,D Lane,40,2,3,7,0.05,0.075,0.175
217,2015-07-12,G Mosse,80,17,24,29,0.2125,0.3,0.3625
218,2015-07-12,H N Wong,56,4,12,16,0.07142857142857142,0.21428571428571427,0.2857142857142857
219,2015-07-12,H W Lai,59,4,4,6,0.06779661016949153,0.06779661016949153,0.1016949152542373
220,2015-07-12,J Moreira,52,18,24,36,0.34615384615384615,0.46153846153846156,0.6923076923076923
221,2015-07-12,K C Leung,71,2,7,18,0.028169014084507043,0.09859154929577464,0.2535211267605634
222,2015-07-12,K C Ng,35,0,1,4,0.0,0.02857142857142857,0.11428571428571428
223,2015-07-12,M Chadwick,81,1,11,16,0.012345679012345678,0.13580246913580246,0.19753086419753085
224,2015-07-12,M L Yeung,79,6,11,22,0.0759493670886076,0.13924050632911392,0.27848101265822783
225,2015-07-12,N Callan,68,7,17,25,0.10294117647058823,0.25,0.36764705882352944
226,2015-07-12,N Rawiller,61,4,14,19,0.06557377049180328,0.22950819672131148,0.3114754098360656
227,2015-07-12,T H So,65,1,4,10,0.015384615384615385,0.06153846153846154,0.15384615384615385
228,2015-07-12,W M Lai,38,1,2,4,0.02631578947368421,0.05263157894736842,0.10526315789473684
229,2015-07-12,Y T Cheng,35,1,3,7,0.02857142857142857,0.08571428571428572,0.2
230,2015-07-12,Z Purton,73,13,22,28,0.1780821917808219,0.3013698630136986,0.3835616438356164
231,2015-09-06,C K Tong,41,1,2,2,0.024390243902439025,0.04878048780487805,0.04878048780487805
232,2015-09-06,C Schofield,0,1,2,3,0.0,0.0,0.0
233,2015-09-06,C Y Ho,76,6,8,13,0.07894736842105263,0.10526315789473684,0.17105263157894737
234,2015-09-06,D Whyte,69,7,15,19,0.10144927536231885,0.21739130434782608,0.2753623188405797
235,2015-09-06,G Mosse,89,17,24,30,0.19101123595505617,0.2696629213483146,0.33707865168539325
236,2015-09-06,H N Wong,67,4,12,16,0.05970149253731343,0.1791044776119403,0.23880597014925373
237,2015-09-06,J Moreira,63,21,28,41,0.3333333333333333,0.4444444444444444,0.6507936507936508
238,2015-09-06,K C Ng,41,0,1,4,0.0,0.024390243902439025,0.0975609756097561
239,2015-09-06,K K Chiong,0,0,1,1,0.0,0.0,0.0
240,2015-09-06,K Teetan,32,5,12,15,0.15625,0.375,0.46875
241,2015-09-06,M Chadwick,91,2,13,18,0.02197802197802198,0.14285714285714285,0.1978021978021978
242,2015-09-06,M L Yeung,87,6,13,24,0.06896551724137931,0.14942528735632185,0.27586206896551724
243,2015-09-06,N Callan,78,7,17,25,0.08974358974358974,0.21794871794871795,0.32051282051282054
244,2015-09-06,N Rawiller,69,5,16,21,0.07246376811594203,0.2318840579710145,0.30434782608695654
245,2015-09-06,R Fourie,0,0,0,3,0.0,0.0,0.0
246,2015-09-06,W M Lai,44,1,2,4,0.022727272727272728,0.045454545454545456,0.09090909090909091
247,2015-09-06,Y T Cheng,42,2,4,8,0.047619047619047616,0.09523809523809523,0.19047619047619047
248,2015-09-09,B Prebble,71,10,20,30,0.14084507042253522,0.28169014084507044,0.4225352112676056
249,2015-09-09,C K Tong,48,1,2,2,0.020833333333333332,0.041666666666666664,0.041666666666666664
250,2015-09-09,C Schofield,10,2,3,4,0.2,0.3,0.4
251,2015-09-09,C Y Ho,86,7,9,14,0.08139534883720931,0.10465116279069768,0.16279069767441862
252,2015-09-09,D Whyte,78,8,16,20,0.10256410256410256,0.20512820512820512,0.2564102564102564
253,2015-09-09,G Mosse,96,18,26,34,0.1875,0.2708333333333333,0.3541666666666667
254,2015-09-09,H N Wong,73,4,13,17,0.0547945205479452,0.1780821917808219,0.2328767123287671
255,2015-09-09,J Moreira,73,21,29,43,0.2876712328767123,0.3972602739726027,0.589041095890411
256,2015-09-09,K C Leung,82,2,9,20,0.024390243902439025,0.10975609756097561,0.24390243902439024
257,2015-09-09,K C Ng,44,1,2,6,0.022727272727272728,0.045454545454545456,0.13636363636363635
258,2015-09-09,K Teetan,42,5,13,17,0.11904761904761904,0.30952380952380953,0.40476190476190477
259,2015-09-09,M Chadwick,100,2,13,19,0.02,0.13,0.19
260,2015-09-09,M L Yeung,95,7,14,26,0.07368421052631578,0.14736842105263157,0.2736842105263158
261,2015-09-09,N Callan,87,8,18,26,0.09195402298850575,0.20689655172413793,0.2988505747126437
262,2015-09-09,N Rawiller,76,5,16,21,0.06578947368421052,0.21052631578947367,0.27631578947368424
263,2015-09-09,R Fourie,9,1,1,5,0.1111111111111111,0.1111111111111111,0.5555555555555556
264,2015-09-09,W M Lai,48,1,2,4,0.020833333333333332,0.041666666666666664,0.08333333333333333
265,2015-09-09,Y T Cheng,47,2,4,8,0.0425531914893617,0.0851063829787234,0.1702127659574468
266,2015-09-13,B Prebble,75,11,22,33,0.14666666666666667,0.29333333333333333,0.44
267,2015-09-13,C K Tong,51,1,2,2,0.0196078431372549,0.0392156862745098,0.0392156862745098
268,2015-09-13,C Schofield,16,2,3,4,0.125,0.1875,0.25
269,2015-09-13,C Y Ho,91,7,10,16,0.07692307692307693,0.10989010989010989,0.17582417582417584
270,2015-09-13,D Whyte,85,8,18,22,0.09411764705882353,0.21176470588235294,0.25882352941176473
271,2015-09-13,G Mosse,103,18,28,38,0.17475728155339806,0.27184466019417475,0.36893203883495146
